RANK,Name,POS,ADP,BYE,NOTES,gFAN PTS,gYDS Passing,gTDS Pass,gREC Receiving,gYDS  Recieiving,gTDS Reciieving,gATT rushing,gDS rushing,gTDS rushing,yFAN PTS,yYDS Passing,yTDS Pass,yREC Receiving,yYDS  Recieiving,yTDS Reciieving,yATT rushing,yYDS rushing,yTDS rushing
86,Tom Brady TB ,QB11,95.7,13,"The end of an era. Crazy to write Brady‘s name under the Bucs, but hey, this might be the least crazy thing about 2020. He‘s going from Julian Edelman and Mohamed Sanu to Chris Godwin and Mike Evans. That should help his shockingly low 6.6 yards per attempt from 2019. Not only that, but 2019 was the first time in Brady‘s career where he didn‘t have a touchdown percentage of 4.0 or above. It was also the first time since 2004 where he completed less than 61 percent of his passes. Will the upgrade in receivers help him get back on track, or are we at the end for the greatest of all-time? The Patriots offensive line was not particularly good last year, so when you combined that with Brady‘s inability to move at all, you get bad numbers. The Bucs offensive line hasn‘t been good over the last few years, though they were slightly better in 2019, and they did draft tackle Tristan Wirfs in the first round, highlighting the fact that they know Brady needs protection. They don‘t have a James White/Julian Edelman on the roster to be his safety valve, though I suspect Godwin will become that player to him. Will the pass attempts drop off from Jameis Winston? Probably, but know that Bruce Arians has not fallen out of the top 20 in pass attempts since back in 2010. His teams have now been top-five in each of his last three years as a coach. Knowing they don‘t have a running back like Saquon Barkley on the roster, we should expect 580-plus pass attempts, and if you look at the receivers on the roster, and what their career averages are when it comes to yards per target, yards per reception, touchdowns, etc., it‘s hard to say Brady won‘t finish as a top-12 quarterback in 2020. There‘s risk that he‘s just flat-out done, as well as risk of chemistry with no offseason, but Brady did workout with a lot of the skill-position players even when the NFL advised against it. He‘s not a top-five candidate, but if you snag him as a back-end QB1, he shouldn‘t lose you fantasy leagues.",17,253.6,1.5,0,0,0,1.6,2.1,0.2,271.68,4057,24,0,0,0,26,34,3
87,Hayden Hurst ATL ,TE9,96,10,"When projecting Matt Ryan for somewhere in the neighborhood of 620-plus pass attempts, you need to disburse them somewhere. The Falcons didn‘t even make an offer to Austin Hooper but decided to spend a second-round pick to acquire Hurst from the Ravens. It‘s clear they view him as someone who can step right into Hooper‘s role. It may take some time for Hurst to get acclimated to the new offense with a shortened offseason, but Hooper‘s role was massive last year. He totaled 97 targets in just 13 games, which was a pace of 119 targets on a full 16-game season. Did you know that of the 116 tight ends who‘ve seen more than 85 targets the last 10 years, that 97 of them finished as top-12 tight ends? That‘s an 83.6 percent success rate and it seems highly likely that Hurst is going to hit that. Move that number up to 90 targets and it‘s a 92.4 percent success rate. One of my bold predictions this year is that Hurst finishes as a top-five fantasy tight end. Don‘t think he was bad because he was playing behind Mark Andrews, one of the best tight ends in the league.",2.9,0,0,1.9,21.8,0.1,0,0,0,46.9,0,0,30,349,2,0,0,0
88,Matthew Stafford DET ,QB12,100.4,5,"There have been a lot of people talking about Stafford‘s 2019 season before injury, highlighting that it could be a sign of things to come. He was the No. 6 quarterback in fantasy through nine weeks, yes. But do you know who No. 5 was? Aaron Rodgers. That didn‘t end well. Stafford‘s 8.2 yards per attempt was easily a career high and just the second time in his career over 7.6 yards per attempt. He‘s going to be a fine low-end QB1/high-end QB2, but he‘s not likely to be a league winner at this stage of his career.",21.4,312.4,2.4,0,0,0,2.5,8.3,0,171.56,2499,19,0,0,0,20,66,0
89,Diontae Johnson PIT ,WR37,101.2,8,"When the Steelers drafted Johnson in the third round in 2019, many did a double take, but once he got on the field, he proved worthy. The Steelers liked him so much, he saw a very-high 18.0 percent target share in his rookie season. It didn‘t hurt that JuJu Smith-Schuster was hurt and missing some time, but it highlights how much they believe in him. He‘ll play the “Antonio Brown role” in the offense moving forward while Smith-Schuster goes back to the slot. The downside is that Johnson will then see the opposing No. 1 cornerback, as they don‘t go into the slot very often. Still, throughout Ben Roethlisberger‘s long 15-year career (excluding 2019), he‘s supported two top-40 wide receivers in 12 of them, with 11 of them supporting two top-32 receivers. There is certainly risk with Roethlisberger‘s elbow, but at WR43 (his current ADP), you‘re getting a slight discount. I mean, even with Mason Rudolph and Devlin Hodges under center, he finished as the WR43 his rookie season. Snagging him as your WR4 would be a good idea, as I believe he‘ll be a WR3 more often than not.",6.5,0,0,3.7,42.5,0.3,0.3,2.6,0,104.1,0,0,59,680,5,4,41,0
90,Deebo Samuel SF ,WR38,101.4,11,"In case you missed it, Samuel broke his foot in June and needed to have surgery immediately. Any time a pass catcher has surgery on a foot or ankle in the same calendar year, you have to be concerned, as we‘ve seen players continually struggle to produce. Kyle Shanahan has already come forward saying that Samuel will miss games, and that the only question is how many. This is a bit reminiscent of A.J. Green last year, where I kept telling people to take the discount as your WR3. Oddly enough, Samuel is being drafted in WR3 territory as the WR30 right now. There‘s no way I‘ll advise to make that mistake again, especially with a player who has such a limited sample size. He saw 81 targets last year. That‘s hardly “can‘t miss” material, anyway. If he falls into the double-digit rounds, he‘s not a bad gamble, but I wouldn‘t take him prior to then.",8.8,0,0,3.8,53.5,0.2,0.9,10.6,0.2,132.1,0,0,57,802,3,14,159,3
91,Aaron Rodgers GB ,QB13,105.3,5,"How did we get here? Rodgers was the poster child for consistency in fantasy football. He may not have had the Lamar Jackson upside, but you knew he would finish as a top-five quarterback as long as he was healthy. Last year was the first time he finished worse than the No. 7 quarterback while playing at least 10 games. His QB9 finish was worse than it appears at first sight. Rodgers actually finished with fewer than 15 fantasy points in 10-of-16 games. There were four games that essentially carried him through the season, and those games were against the Raiders, Giants, Chiefs, and Eagles. Three of those were among the worst in football. Fortunately, Rodgers has a semi-decent schedule in 2020, as he‘ll play the Lions twice, Panthers, Falcons, Texans, and Jaguars defenses during the fantasy season. Was it the new offense he was learning? Was it the lack of weapons to throw to? Neither has changed, so it‘s tough to say he‘ll return to the Rodgers we all know and love as fantasy players, but his cost doesn‘t reflect that it‘s even a possibility, as he‘s being drafted outside the top-10 quarterbacks. If you‘re one of those fantasy owners who refuses to spend up at quarterback, taking a shot on Rodgers in the eighth or ninth round would make plenty of sense. He‘s 36 years old and has seven top-two finishes under his belt.",17.6,250.1,1.6,0,0,0,2.9,11.4,0.1,282.38,4002,26,0,0,0,46,183,1
92,Zack Moss BUF ,RB32,101.1,11,"The Bills have already come forward and said that Moss will take over the role that Frank Gore played last year. Before injuries and age started to add up for Gore, he was getting a lot of work in the Bills offense. He averaged 12.5 carries per game through Week 12, which is a big enough role to be considered an RB4. Not just that, but Gore ranked 12th among running backs for carries inside the five-yard-line. Moss is going to crush Devin Singletary‘s upside, and if Singletary were to miss time, Moss would be a top-15 start every week.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,John Brown BUF ,WR39,101.5,11,"The addition of Stefon Diggs likely crushed the appeal that Brown had in fantasy football. The Bills gave up a first, fourth, fifth, and sixth-round pick for Diggs (and a seventh rounder). That‘s a lot. The fact that there will be no preseason certainly helps Brown, as he has experience and chemistry with Josh Allen, as well as knowing the offense. Here‘s the crazy part about Brown last year: He hit WR3 or better numbers in 73.3 percent of his games, which ranked 11th in the league. He only hit WR2 or better numbers in 26.7 percent of his games, which ranked 51st in the league. Now start removing targets to get Diggs his, and we suddenly lose some of that WR3 floor that he had. He is a good football player who just won‘t get enough targets to start on a consistent basis. Now, if Diggs were to miss any time, we could go back to playing him as a low-end WR2/high-end WR3. Until then, Brown is in the WR4 range for me.",9.9,0,0,4.8,70.7,0.4,0.1,0.5,0,147.82,0,0,72,1060,6,2,7,0
94,Jared Cook NO ,TE10,106.6,6,"It‘s very uncommon for tight ends to finish in the top-10 with less than 100 targets, but Cook finished as the No. 7 tight end in 2019 with just 65 targets. He did that because he scored a touchdown every 7.2 targets, a number that is sure to regress. It‘s tough to find him more targets in the offense in 2020 with the arrival of Emmanuel Sanders, too. He‘s likley going to be a touchdown-or-bust option, which puts him in the low-end TE1/high-end TE2 territory.",8.9,0,0,3.1,50.4,0.6,0,0,0,124.5,0,0,43,705,9,0,0,0
95,Marlon Mack IND ,RB33,99.9,7,"We never reached the expected performance out of Mack behind the Colts top-tier offensive line, so why shouldn‘t we have expected them to draft a running back? Drafting Jonathan Taylor in the second round was a straight dagger to Mack‘s value in any format. He‘ll be lucky to get eight touches per game in that offense this year.",12,0,0,1,5.9,0,17.6,77.9,0.6,167.3,0,0,14,82,0,247,1091,8
96,Phillip Lindsay DEN ,RB34,101,8,"I don‘t think I‘ve ever seen someone glanced over as easily as Lindsay in both real life and fantasy. Over the last two years, here are the only players who have more rushing yards than him: Ezekiel Elliott, Derrick Henry, Nick Chubb, Christian McCaffrey, Chris Carson, Saquon Barkley, Joe Mixon, and Todd Gurley.",10.2,0,0,2.2,12.3,0,14,63.2,0.4,162.7,0,0,35,196,0,224,1011,7
97,Christian Kirk ARI ,WR40,103.9,8,"He has the benefit of playing a year with Kyler Murray in Kliff Kingsbury‘s offense, while DeAndre Hopkins may go through a learning curve. Despite playing just 13 games last year, Kirk saw 107 targets (132 target pace over 16 games). The issue is that Hopkins will get a large chunk of the pie, and Larry Fitzgerald didn‘t return to play another season to see just 50 targets. It‘ll be hard for anyone to correctly predict the target share among these receivers, but Kirk is an ascending talent who‘s entering year three of his young career. Knowing the Cardinals receivers combined for 368 targets last year, it‘s hard to see a scenario where Kirk sees more targets than he did last year, especially when you know they run a lot of 4WR sets (which cuts into the overall target pie). Kirk has also scored just three touchdowns in each of his first two seasons, so touchdowns aren‘t likely to make up for a lower target share. He‘s likely going to be somewhat of a hit-or-miss WR3/4 in 2020 with inconsistent targets.",7.7,0,0,5.2,54.5,0.2,0.8,7.2,0,100.2,0,0,68,709,3,10,93,0
